,Brand,Model No,Tot Vol,Labelled energy consumption (kWh/year)
3776,BEKO,BFR569DDX,569,520
3777,Esatto,EUF268 series,238,306
3778,Esatto,EUF268S,238,306
3779,Esatto,EUF268W,238,306
3780,Inalto,IIF241,248,303
3781,Coldstream,CBR320,323,401
3782,CHIQ,CCF254WE,254,192
3783,HOOVER,HV-RTM415,415,329
3784,MIELE,FNS 4382 E edt/cs,278,178
3785,AKAI,AK-287-CF,287,303
3786,HOOVER,HV-RCF287,287,303
3787,MIELE,FNS 4782 E edt/cs,278,178
3788,Fhiaba,S7490TGT6A,440,435
3789,Fhiaba,S7490TGT3A,440,435
3790,Fhiaba,KS7490TGT6A,440,435
3791,Fhiaba,KS7490TGT3A,440,435
3792,Fhiaba,BI7490TST6A,440,435
3793,Fhiaba,BI7490TST3A,440,435
3794,Fhiaba,BKI7490TST6A,440,435
3795,Fhiaba,BKI7490TST3A,440,435
3796,Fhiaba,S7490TST6A,440,435
3797,Fhiaba,S7490TST3A,440,435
3798,Fhiaba,***7490T*T*A,440,435
3799,Fhiaba,KS7490TST6IA,440,435
3800,Fhiaba,S7490TST3IA,440,435
3801,Fhiaba,S7490TST6IA,440,435
3802,Fhiaba,BKI7490TST3IA,440,435
3803,Fhiaba,BKI7490TST6IA,440,435
3804,Fhiaba,BI7490TST3IA,440,435
3805,Fhiaba,BI7490TST6IA,440,435
3806,Fhiaba,KS7490TGT3IA,440,435
3807,Fhiaba,KS7490TGT6IA,440,435
3808,Fhiaba,S7490TGT3IA,440,435
3809,Fhiaba,S7490TGT6IA,440,435
3810,Fhiaba,KS7490TST3IA,440,435
3811,Fhiaba,***7490T*T*IA,440,435
3812,Fhiaba,XS8990TGT6IA,556,484
3813,Fhiaba,XS8990TGT3IA,556,484
3814,Fhiaba,XS8990TST6IA,556,484
3815,Fhiaba,XS8990TST3IA,556,484
3816,Fhiaba,MS8990TST6IA,556,484
3817,Fhiaba,MS8990TST3IA,556,484
3818,Fhiaba,AS8990TST6IA,556,484
3819,Fhiaba,AS8990TST3IA,556,484
3820,Fhiaba,*S8990T*T*IA,556,484
3821,MIELE,KS 4383 ED edt/cs,399,115
3822,MIELE,KS 4783 ED edt/cs,399,115
3823,MITSUBISHI ELECTRIC,MR-CX272ET-W-A,272,334
3824,MITSUBISHI ELECTRIC,MR-CX272ET-ST-A,272,334
3825,MITSUBISHI ELECTRIC,MR-CX272ET Series,272,334
3826,FISHER & PAYKEL,RF730QNUVX1,690,463
3827,FISHER & PAYKEL,RF730QNUVB1,690,463
3828,FISHER & PAYKEL,RF730Q series,690,463
3829,FISHER & PAYKEL,RF730QZUVB1,690,463
3830,MIELE,KFN 4375 DD edt/cs,330,194
3831,TCL,P454TMB,415,329
3832,SHEFFIELD,PLA123F,122,145
3833,HISENSE,HRBM503S,503,349
3834,Living & Co,HS-384CN,290,304
3835,LIEBHERR,SRsdh 5220,399,115
3836,LIEBHERR,SCNsdh 5253,332,194
3837,LIEBHERR,SBNbsh 5264,314,195
3838,LIEBHERR,SBNsdh 5264,314,195
3839,LIEBHERR,SBN**h 5264,314,195
3840,LIEBHERR,SFNsdh 5227,278,178
3841,LIEBHERR,SFNbsh 5267,278,181
3842,LIEBHERR,SFNsdh 5267,278,181
3843,Nero,74407802,75,124
3844,Robinhood,RHBFD78W,75,124
3845,Robinhood,RHBFD78X,75,124
3846,Robinhood,RHBFD78,75,124
3847,HITACHI,R-ZX740RA,735,440
3848,HITACHI,R-ZX740RAX,735,440
3849,HITACHI,R-ZX740RAXK,735,440
3850,HITACHI,R-ZX740RA Series,735,440
3851,Robinhood,RHBFD126W,121,132
3852,Robinhood,RHBFD126X,121,132
3853,Omega,OBFD126B,121,132
3854,Omega,OBFD126X,121,132
3855,Robinhood,RHBFD126,121,132
3856,Omega,RHBFD126,121,132
3857,Robinhood,RHTMF221W,198,293
3858,Robinhood,RHTMF221X,198,293
3859,Robinhood,RHTMF221,198,293
3860,MIELE,KS 7793 D,296,110
3861,HISENSE,HRFD634BW,634,545
3862,Haier,HRF575XC,574,394
3863,Haier,HRF575XHC,574,394
3864,Haier,HRF575XHS,574,394
3865,Haier,HRF575XS,574,394
3866,Haier,HRF575X series,574,394
3867,HITACHI,R-WX670RA,670,420
3868,HITACHI,R-WX670RAXK,670,420
3869,HITACHI,R-WX670RAX,670,420
3870,HITACHI,R-WX670RA Series,670,420
3871,EURO,E276IFBM,242,280
3872,HITACHI,R-WX670RAXW,670,420
3873,Husky,CKK48-333-RD-AU-HU.1,48,95
3874,Husky,CKK48-130-AU-HU.1,48,95
3875,Husky,CKK48-238-WH-AU-HU.1,48,95
3876,Husky,CKK48-241-BK-AU.1,48,95
3877,Husky,CKK48-238-GULF.1,48,95
3878,Husky,SC-48.1,48,95
3879,Husky,CKK48-MTF-AU-HU,48,95
3880,Robinhood,RHTMF269W,248,293
3881,Robinhood,RHTMF269X,248,293
3882,Robinhood,RHTMF269,248,293
3883,Eurotech,T-BF47WH,46,108
3884,Eurotech,ED-BF48SS,46,108
3885,Tuscany,ED-BF48WH,46,108
3886,Eurotech,Bar Fridge 4XL,46,108
3887,Tuscany,Bar Fridge 4XL,46,108
3888,LG,GT-2W,266,270
3889,LG,GT-2PL,266,270
3890,LG,GT-2,266,270
3891,Sub-Zero,ICBCL4850UFDID/S/T,820,495
3892,Sub-Zero,ICBCL4850UFDID/S/P,820,495
3893,Sub-Zero,ICBCL4850UFDID Series,820,495
3894,Sub-Zero,ICBCL4250UFDID/S/T,699,476
3895,Sub-Zero,ICBCL4250UFDID/S/P,699,476
3896,Sub-Zero,ICBCL4250UFDID Series,699,476
3897,Sub-Zero,ICBCL3650UFDID/S/T,581,405
3898,Sub-Zero,ICBCL3650UFDID/S/P,581,405
3899,Sub-Zero,ICBCL3650UFDID Series,581,405
3900,Sub-Zero,ICBCL3650UID/S/T/L,587,319
3901,Sub-Zero,ICBCL3650UID/S/T/R,587,319
3902,Sub-Zero,ICBCL3650UID/S/P/L,587,319
3903,Sub-Zero,ICBCL3650UID/S/P/R,587,319
3904,Sub-Zero,ICBCL3650UID Series,587,319
3905,anko,ACF142W2,142,94
3906,anko,ACF142W2,142,243
3907,anko,AUF92W,84,175
3908,anko,AUF92S,84,175
3909,anko,AUF92 series,84,175
3910,anko,AUL237S,230,205
3911,anko,AUL237W,230,205
3912,anko,AUL237 Series,230,205
3913,Panasonic,NR-CW530J,493,338
3914,Sub-Zero,ICBDEC1850FI/L,248,222
3915,Sub-Zero,ICBDEC1850FI/R,248,222
3916,Sub-Zero,ICBDEC1850FI Series,248,222
3917,WESTINGHOUSE,WQE4900AA,496,395
3918,WESTINGHOUSE,WQE4900BA,496,395
3919,WESTINGHOUSE,WQE4900*A,496,395
3920,Sub-Zero,ICBDEC2450FI/L,351,254
3921,Sub-Zero,ICBDEC2450FI/R,351,254
3922,Sub-Zero,ICBDEC2450FI Series,351,254
3923,Sub-Zero,ICBDEC3050FI/L,439,284
3924,Sub-Zero,ICBDEC3050FI/R,439,284
3925,Sub-Zero,ICBDEC3050FI Series,439,284
3926,Sub-Zero,ICBDEC2450R/L,377,160
3927,Sub-Zero,ICBDEC2450R/R,377,160
3928,Sub-Zero,ICBDEC2450R Series,377,160
3929,Sub-Zero,ICBDEC3050RID/L,496,172
3930,Sub-Zero,ICBDEC3050RID/R,496,172
3931,Sub-Zero,ICBDEC3050RID Series,496,172
3932,Sub-Zero,ICBDEC3650RID/L,614,206
3933,Sub-Zero,ICBDEC3650RID/R,614,206
3934,Sub-Zero,ICBDEC3650RID Series,614,206
3935,Sub-Zero,ICBDET3050CIID/L,442,359
3936,Sub-Zero,ICBDET3050CIID/R,442,359
3937,Sub-Zero,ICBDET3050CIID Series,442,359
3938,Sub-Zero,ICBDET3650CIID/L,554,414
3939,Sub-Zero,ICBDET3650CIID/R,554,414
3940,Sub-Zero,ICBDET3650CIID Series,554,414
3941,Sub-Zero,ICBCL3650F/S/P/L,582,297
3942,Sub-Zero,ICBCL3650F/S/P/R,582,297
3943,Sub-Zero,ICBCL3650F/S/T/L,582,297
3944,Sub-Zero,ICBCL3650F/S/T/R,582,297
3945,Sub-Zero,ICBCL3650F Series,582,297
3946,WESTINGHOUSE,WQE4960AA,492,395
3947,WESTINGHOUSE,WQE4960BA,492,395
3948,WESTINGHOUSE,WQE4960*A,492,395
3949,Sub-Zero,ICBCL3650RID/S/P/L,646,197
3950,Sub-Zero,ICBCL3650RID/S/P/R,646,197
3951,Sub-Zero,ICBCL3650RID/S/T/L,646,197
3952,Sub-Zero,ICBCL3650RID/S/T/R,646,197
3953,Sub-Zero,ICBCL3650RID Series,646,197
3954,Sub-Zero,ICBCL4250S/O,700,393
3955,Sub-Zero,ICBCL4250S/S/P,700,393
3956,Sub-Zero,ICBCL4250S/S/T,700,393
3957,Sub-Zero,ICBCL4250S Series,700,393
3958,Sub-Zero,ICBCL4250SID/S/P,692,437
3959,Sub-Zero,ICBCL4250SID/S/T,692,437
3960,Sub-Zero,ICBCL4250SID/O,692,437
3961,Sub-Zero,ICBCL4850S/O,825,502
3962,Sub-Zero,ICBCL4850S/S/P,825,502
3963,Sub-Zero,ICBCL4850S/S/T,825,502
3964,Sub-Zero,ICBCL4850S Series,825,502
3965,Sub-Zero,ICBCL4850SD/O,803,504
3966,Sub-Zero,ICBCL4850SD/S/P,803,504
3967,Sub-Zero,ICBCL4850SD/S/T,803,504
3968,Sub-Zero,ICBCL4850SD Series,803,504
3969,Sub-Zero,ICBCL4850SID/O,816,481
3970,Sub-Zero,ICBCL4850SID/S/P,816,481
3971,Sub-Zero,ICBCL4850SID/S/T,816,481
3972,Sub-Zero,ICBCL4850SID Series,816,481
3973,Eurotech,ED-BF126SS.2,121,132
3974,Eurotech,ED-BF126WH.2,121,132
3975,Tuscany,T-BF124WH.2,121,132
3976,Eurotech,T-BF124 & ED-BF126,121,132
3977,Tuscany,T-BF124 & ED-BF126,121,132
3978,Panasonic,NR-BW530J,498,317
3979,Sub-Zero,ICBCL4250SID Series,692,437
3980,Panasonic,NR-BV361B,332,285
3981,Nero,744198,197,238
3982,Solt,GGSBM325W,325,277
3983,Solt,GGSBM325X,325,277
3984,Solt,GGSBM325 Series,325,277
3985,LG,GF-V700MBLC,642,560
3986,LG,GF-V700BSLC,642,560
3987,LG,GF-V700,642,560
3988,LIEBHERR,ECBN 6156,522,566
3989,yokohama,YOKF198W,198,293
3990,Artusi,AFTM343X,310,298
3991,ACQUA,GY-NE229FRS,240,279
3992,ACQUA,GY-NE229FRB,240,279
3993,ACQUA,GY-NE229FR,240,279
3994,ACQUA,GY-NE390RFW,384,217
3995,Artusi,AFBM462X,427,335
3996,MIELE,KFNS 7734 D,253,176
3997,HISENSE,HRFD634SW,634,545
3998,HISENSE,HRFD634_Series,634,545
3999,EcoFlow,EFBX100,36,114
4000,Linarie,LK48MRED,48,90
4001,Linarie,LK48MGREEN,48,90
4002,Linarie,LK48MBLACK,48,90
4003,Linarie,LK48MPINK,48,90
4004,Linarie,LK48M,48,90
4005,Linarie,LK90TTBLACK,91,105
4006,Linarie,LK90TTPINK,91,105
4007,Linarie,LK90TTRED,91,105
4008,Linarie,LK90TTGREEN,91,105
4009,Linarie,LK90TTBG,91,105
4010,Linarie,LK90TT,91,105
4011,Husky,HUS-295CHE.1,290,128
4012,NCE,NCE126EU,122,133
4013,Dometic,C60G1,49,80
4014,Dometic,C60G2,49,80
4015,Dometic,C60G*,49,80
4016,Dometic,C60S1,49,64
4017,Dometic,C60S2,49,64
4018,Dometic,C60S*,49,64
4019,V-ZUG,CO4T-51124,294,110
4020,V-ZUG,FR4T-53005,213,207
4021,MIELE,K 2802 Vi,467,179
4022,Kogan,KAHFRZU161A,161,232
4023,Kogan,KAHFRZU161B,161,232
4024,Kogan,KAHFRZU161C,161,232
4025,Kogan,KAHFRZU161D,161,232
4026,Kogan,KAHFRZU161E,161,232
4027,Kogan,KAHFRZU161*,161,232
4028,Kogan,KAHFRZU204A,204,258
4029,Kogan,KAHFRZU204B,204,258
4030,Kogan,KAHFRZU204C,204,258
4031,Kogan,KAHFRZU204D,204,258
4032,Kogan,KAHFRZU204E,204,258
4033,Kogan,KAHFRZU204*,204,258
4034,FISHER & PAYKEL,RF500QNX1,498,320
4035,FISHER & PAYKEL,RF500QNB1,498,320
4036,FISHER & PAYKEL,RF500QN series,498,320
4037,FISHER & PAYKEL,RF500QNUX1,498,340
4038,FISHER & PAYKEL,RF500QNUB1,498,340
4039,FISHER & PAYKEL,RF500QNU series,498,340
4040,Simmons,SFR-220,203,272
4041,Simmons,SCF-100,99,210
4042,Kogan,KAHFREN464A,464,422
4043,Kogan,KAHFREN464B,464,422
4044,Kogan,KAHFREN464C,464,422
4045,Kogan,KAHFREN464D,464,422
4046,Kogan,KAHFREN464E,464,422
4047,Kogan,KAHFREN464*,464,422
4048,FISHER & PAYKEL,RS6019S3RH1,306,175
4049,FISHER & PAYKEL,RS6019F3LJ1,303,272
4050,MIELE,K 2601 Vi,357,157
4051,MIELE,F 2671 Vi,304,313
4052,MIELE,KF 2981 Vi,552,434
4053,Tuscany,T-CF316WH.2,308,342
4054,Eurotech,ED-RF132SS,125,204
4055,Eurotech,ED-RF132WH,125,204
4056,Eurotech,ED-RF132,125,204
4057,Eurotech,ED-RFT362SS.2,334,319
4058,Haier,HRF340BS2,342,421
4059,Haier,HRF340BW2,342,421
4060,Haier,HRF340B**,342,421
4061,SAMSUNG ELECTRONICS,SRT3700S,348,295
4062,Eurotech,ED-RF221SS.2,198,293
4063,Kogan,KAHFSBS592A,592,442
4064,Kogan,KAHFSBS592B,592,442
4065,Kogan,KAHFSBS592C,592,442
4066,Kogan,KAHFSBS592D,592,442
4067,Kogan,KAHFSBS592E,592,442
4068,Kogan,KAHFSBS592*,592,442
4069,LG,GT-1S,243,265
4070,TCL,P421CDW,421,356
4071,TCL,P421CDN,421,356
4072,TCL,P421CDB,421,356
4073,TCL,P421CD*,421,356
4074,WESTINGHOUSE,WRM2400WF,242,175
4075,Haier,HRF516YHC,463,371
4076,Haier,HRF516YHS,463,371
4077,Haier,HRF516YS,463,371
4078,Haier,HRF516Y Series,463,371
4079,Prinetti,IA5491,48,90
4080,ANKER,A17A0,33,82
4081,ANKER,A17A1,43,96
4082,Haier,HCF324W2,324,320
4083,Haier,HVF260WH3,255,293
4084,Haier,HVF260WH3-LH,255,293
4085,Haier,HVF260SS3,255,293
4086,Haier,HVF260SS3-LH,255,293
4087,Haier,HVF260**3**,255,293
4088,SAMSUNG ELECTRONICS,SRF7400BB,648,522
4089,Haier,HRF420BS,433,255
4090,Haier,HRF420BC,433,255
4091,Haier,HRF420BW,433,255
4092,Haier,HRF420B series,433,255
4093,Haier,HRF420BHS,431,254
4094,Haier,HRF420BHC,431,254
4095,Haier,HRF420BH series,431,254
4096,CHIQ,CCF299WE,299,208
4097,CHIQ,CCF298BE,299,208
4098,LIEBHERR,SRBsdh 5260,384,112
4099,LIEBHERR,SRBbsh 5260,384,112
4100,LIEBHERR,SRBs*h 5260,384,112
4101,CHIQ,CCF29***,299,208
4102,EURO,EVF204SL,204,258
4103,EURO,EF204VFSS,204,258
4104,EURO,EV/EF204,204,258
4105,Eurotech,ED-RFSSWD560SS.2,529,451
4106,Eurotech,ED-VF183WH.2,168,236
4107,Coldstream,CSF360,366,379
4108,Nero,744300,334,319
4109,Nero,744400,415,329
4110,SAMSUNG ELECTRONICS,SRF7500SB,648,522
4111,SAMSUNG ELECTRONICS,SRF7500BB,648,522
4112,SAMSUNG ELECTRONICS,SRFX7600BB,648,522
4113,SAMSUNG ELECTRONICS,SRFX7600W,648,522
4114,SAMSUNG ELECTRONICS,SRFX9550N,647,568
4115,SAMSUNG ELECTRONICS,SRF9100BB,647,568
4116,SAMSUNG ELECTRONICS,SRFX9550W,647,568
4117,CHIQ,CTM296NBS,297,273
4118,CHIQ,CTM297NW,297,273
4119,CHIQ,CTM29*N**,297,273
4120,CHIQ,CTM297NW3,297,273
4121,CHIQ,CSH310NBSL,311,234
4122,CHIQ,CSH3*****,311,234
4123,CHIQ,CSH311NWL,311,234
4124,CHIQ,CSH311NWL3,311,234
4125,CHIQ,CSS556NBD,559,490
4126,CHIQ,CSS558NBSD,559,490
4127,CHIQ,CSS557NSD,559,490
4128,CHIQ,CSS559NWD,559,490
4129,CHIQ,CSS55*N***,559,490
4130,CHIQ,CSS556NBD3,559,490
4131,CHIQ,CTM407NB,410,326
4132,CHIQ,CTM408NSS,410,326
4133,CHIQ,CTM407NB3,410,326
4134,CHIQ,CTM4**N**,410,326
4135,CHIQ,CTM409NBS,410,326
4136,CHIQ,CTM410NW,410,326
4137,CHIQ,CBM280NB,283,330
4138,CHIQ,CBM281NSS,283,330
4139,CHIQ,CBM282NBS,283,330
4140,CHIQ,CBM283NW,283,330
4141,CHIQ,CBM28*N**,283,330
4142,CHIQ,CBM283NW3,283,330
4143,CHIQ,CBM280NB3,283,330
4144,CHIQ,CBM394NSS,396,272
4145,CHIQ,CBM393NB,396,272
4146,CHIQ,CBM39*N**,396,272
4147,CHIQ,CBM396NW,396,272
4148,CHIQ,CBM395NBS,396,272
4149,CHIQ,CBM393NB3,396,272
4150,CHIQ,CBM396NW3,396,272
4151,CHIQ,CSH310NBSL,311,132
4152,CHIQ,CSH31*****,311,132
4153,CHIQ,CSH311NWL,311,132
4154,CHIQ,CSH311NWL3,311,132
4155,CHIQ,CTM515NW,515,380
4156,CHIQ,CTM514NB,515,380
4157,CHIQ,CTM514NB3,515,380
4158,CHIQ,CTM51*N**,515,380
4159,Eurotech,ED-RF87SS.2,85,184
4160,Tuscany,T-RF221WH,198,293
4161,CHIQ,CRBM228NR2,231,237
4162,CHIQ,CRBM229NB2,231,237
4163,CHIQ,CBM230NS2,231,237
4164,CHIQ,CBM231NW2,231,237
4165,CHIQ,CRBM227NW2,231,237
4166,CHIQ,CRBM228NR3,231,237
4167,CHIQ,CRBM229NB3,231,237
4168,CHIQ,CBM230NS3,231,237
4169,CHIQ,CRBM227NW3,231,237
4170,CHIQ,CBM23*N*2& CRBM22*N*2,231,237
4171,LG,GF-V900MBLC,847,620
4172,SAMSUNG ELECTRONICS,SRT3700B,348,295
4173,SAMSUNG ELECTRONICS,SRT3500W,305,272
4174,Harbour,HBRBC93B2,93,100
4175,LG,GF-B700PL,665,460
4176,LG,GF-B700MWH,665,460
4177,LG,GF-B700MBL,665,460
4178,LG,GF-B700*,665,460
4179,LG,GF-D700MBLC,638,570
4180,LG,GF-D700BSLC,638,570
4181,LG,GF-D700*,638,570
4182,LG,GF-L700PL,637,520
4183,LG,GF-L700MBL,637,520
4184,LG,GF-L700MWH,637,520
4185,LG,GF-L700*,637,520
4186,LG,GF-MV600,617,450
4187,SAMSUNG ELECTRONICS,SRT4200S,393,322
4188,SAMSUNG ELECTRONICS,SRT4200B,393,322
4189,SAMSUNG ELECTRONICS,SRT3500S,305,272
4190,SAMSUNG ELECTRONICS,SRT3500B,305,272
4191,TECO,TBF75WMAH,75,124
4192,TECO,TBF75SMAH,75,124
4193,TECO,TBF75BMAH,75,124
4194,TECO,TBF75*MAH,75,124
4195,TCL,F380CFW,371,380
4196,Artusi,AINT119/2,111,178
4197,GAGGENAU,RY492504,633,436
4198,Artusi,AINT119/NF2,135,152
4199,Artusi,AFR115B,121,132
4200,Tuscany,T-CF145WH.2,142,217
4201,Eurotech,ED-CF251WH.2,246,279
4202,Schmick,HUS-BC46B-RET,46,80
4203,Schmick,HUS-BC46W-RET,46,80
4204,Schmick,HUS-BC46B2,46,80
4205,Eurotech,ED-CF708WH,688,480
4206,Eurotech,ED-RF87WH.2,85,184
4207,Eurotech,ED-RF87,85,184
4208,Coldstream,CSHO-530-B,532,452
4209,Coldstream,CSHO-530-WAT/SS,529,451
4210,Schmick,HUS-BC46*-*,46,80
4211,Solt,GGSTM266B,266,307
4212,Solt,GGSTM266W,266,307
4213,Solt,GGSTM266S,266,307
4214,Solt,GGSTM266X,266,307
4215,Solt,GGSTM266 Series,266,307
4216,Liebherr,CNef4315,350,199
4217,ANKER,A17A2,53,102
4218,Fhiaba,XS8990TGT6A,556,484
4219,Fhiaba,XS8990TGT3A,556,484
4220,Fhiaba,XS8990TST6A,556,484
4221,Fhiaba,XS8990TST3A,556,484
4222,Fhiaba,MS8990TST6A,556,484
4223,Fhiaba,MS8990TST3A,556,484
4224,Fhiaba,AS8990TST6A,556,484
4225,Fhiaba,AS8990TST3A,556,484
4226,Fhiaba,MS8990TGT6A,556,484
4227,Fhiaba,MS8990TGT3A,556,484
4228,Fhiaba,*S8990T*T*A,556,484
4229,Haier,HCF324W2,312,270
4230,AKAI,AK-202-CF,202,255
4231,Linarie,LSSBS520MIR,500,442
4232,Panasonic,NR-XY680L,618,395
4233,CHIQ,CTM347NB5E,348,241
4234,CHIQ,CTM348NW5E,348,241
4235,Linarie,LSSBS460BK,444,372
4236,Haier,HVF260WH3,226,245
4237,Haier,HVF260WH3-LH,226,245
4238,Haier,HVF260 series,226,245
4239,HELLER,HFF261B,197,238
4240,HELLER,HFF261S,197,238
4241,HELLER,HFF261W,197,238
4242,HELLER,HFF261 series,197,238
4243,HELLER,HFF261 series,197,238
4244,CHIQ,CTM3******,348,241
4245,CHIQ,CSH379NBS**/ CSH380NW**,380,316
4246,CHIQ,CSH380NWR2,380,316
4247,CHIQ,CSH380NWL2,380,316
4248,CHIQ,CSH379NBSR2,380,316
4249,CHIQ,CSH379NBSL2,380,316
4250,CHIQ,CSH380NWR,380,316
4251,CHIQ,CSH380NWL,380,316
4252,CHIQ,CSH379NBSR,380,316
4253,CHIQ,CSH379NBSL,380,316
4254,CHIQ,CSH380NWL3,380,316
4255,CHIQ,CSH380NWR3,380,316
4256,CHIQ,CSH379NBSR3,380,316
4257,CHIQ,CSH379NBSL3,380,316
4258,CHIQ,CSH379NBS**/ CSH380NW**,380,144
4259,CHIQ,CSH379NBSL2,380,144
4260,CHIQ,CSH379NBSR2,380,144
4261,CHIQ,CSH380NWL2,380,144
4262,CHIQ,CSH380NWR2,380,144
4263,CHIQ,CSH379NBSL,380,144
4264,CHIQ,CSH379NBSR,380,144
4265,CHIQ,CSH380NWL,380,144
4266,CHIQ,CSH380NWR,380,144
4267,CHIQ,CSH380NWR3,380,144
4268,CHIQ,CSH380NWL3,380,144
4269,CHIQ,CSH379NBSL3,380,144
4270,CHIQ,CSH379NBSR3,380,144
4271,HISENSE,HRCD610TS,609,542
4272,HISENSE,HRCD610TB,609,542
4273,HISENSE,HRCD610_Series,609,542
4274,Mistral,MCFH98W,98,208
4275,Mistral,MCFH98W-F,98,208
4276,Mistral,"MCFH98-F, MCFH98, MCFH98W, MCFH98W-F",98,208
4277,Mistral,MCFH98-F,98,208
4278,Mistral,MCFH98,98,208
4279,CHIQ,CTM202NW,202,218
4280,CHIQ,CTM201NB,202,218
4281,CHIQ,CRTM200NB,202,218
4282,CHIQ,CRTM199NR,202,218
4283,CHIQ,CRTM198NW,202,218
4284,CHIQ,CRTM198NW3,202,218
4285,CHIQ,CRTM199NR3,202,218
4286,CHIQ,CRTM200NB3,202,218
4287,CHIQ,CTM201NB3,202,218
4288,CHIQ,CTM202NW3,202,218
4289,CHIQ,CTM20*N*/ CRTM***N*,202,218
4290,CHIQ,CTM200NSS,202,218
4291,HISENSE,HRSBS652B,652,347
4292,Haier,HCF97W,97,170
4293,Haier,HCF137W,137,177
4294,Haier,HCF194W,194,207
4295,Linarie,LSCD436MIR,445,399
4296,Omega,OBFD127B,127,155
4297,Omega,OBFD127X,127,155
4298,Omega,OBFD127BX,127,155
4299,Omega,OBFZ91B,91,166
4300,Omega,OBFZ91X,91,166
4301,Omega,OBFZ91BX,91,166
4302,Omega,OVFZ161B,161,232
4303,Omega,OVFZ161W,161,232
4304,Omega,OVFZ161X,161,232
4305,Omega,OVFZ161BWX,161,232
4306,Robinhood,RHVF204W,204,258
4307,Robinhood,RHVF204X,204,258
4308,Robinhood,RHVF204WX,204,258
4309,Germanica,GCF145LAU,142,243
4310,Germanica,GCF95LAU,99,210
4311,Fhiaba,XS5990FR3A,368,280
4312,Fhiaba,XS5990FR6A,368,280
4313,Fhiaba,KS5990FR3A,368,280
4314,Fhiaba,KS5990FR6A,368,280
4315,Fhiaba,S5990FR3A,368,280
4316,Fhiaba,S5990FR6A,368,280
4317,Fhiaba,*S5990FR*A,368,280
4318,Ilve,ILFRZ217I/2,200,255
4319,Ilve,ILREF256I/R2,244,300
4320,Ilve,ILREF256I/L2,244,300
4321,Ilve,ILREF256I/*2,244,300
4322,Ilve,ILREF316I/2,316,235
4323,Fhiaba,XS8990FR6A,619,402
4324,Fhiaba,XS8990FR3A,619,402
4325,Fhiaba,XS8990FR*A,619,402
4326,Fhiaba,XS7490FZ6IA,452,413
4327,Fhiaba,XS7490FZ3IA,452,413
4328,Fhiaba,KS7490FZ6IA,452,413
4329,Fhiaba,KS7490FZ3IA,452,413
4330,Fhiaba,S7490FZ6IA,452,413
4331,Fhiaba,S7490FZ3IA,452,413
4332,Fhiaba,*S7490FZ*IA,452,413
4333,Fhiaba,XS8990FZ6IA,570,496
4334,Fhiaba,XS8990FZ3IA,570,496
4335,Fhiaba,KS8990FZ6IA,570,496
4336,Fhiaba,KS8990FZ3IA,570,496
4337,Fhiaba,*S8990FZ*IA,570,496
4338,Fhiaba,XS4490FZ3IA,223,290
4339,Fhiaba,XS4490FZ6IA,223,290
4340,Fhiaba,KS4490FZ3IA,223,290
4341,Fhiaba,KS4490FZ6IA,223,290
4342,Fhiaba,S4490FZ3IA,223,290
4343,Fhiaba,S4490FZ6IA,223,290
4344,Fhiaba,*S4490FZ*IA,223,290
4345,Fhiaba,XS5990TST3A,328,361
4346,Fhiaba,XS5990TST6A,328,361
4347,Fhiaba,KS5990TST3A,328,361
4348,Fhiaba,KS5990TST6A,328,361
4349,Fhiaba,S5990TST3A,328,361
4350,Fhiaba,S5990TST6A,328,361
4351,Fhiaba,*S5990TST*A,328,361
4352,Dometic,NRX1130,126,210
4353,Fhiaba,XS4490FZ3A,223,290
4354,Fhiaba,XS4490FZ6A,223,290
4355,Fhiaba,KS4490FZ3A,223,290
4356,Fhiaba,KS4490FZ6A,223,290
4357,Fhiaba,S4490FZ3A,223,290
4358,Fhiaba,S4490FZ6A,223,290
4359,Fhiaba,*S4490FZ*A,223,290
4360,Fhiaba,XS7490FZ6A,452,413
4361,Fhiaba,XS7490FZ3A,452,413
4362,Fhiaba,KS7490FZ6A,452,413
4363,Fhiaba,KS7490FZ3A,452,413
4364,Fhiaba,S7490FZ6A,452,413
4365,Fhiaba,S7490FZ3A,452,413
4366,Fhiaba,*S7490FZ*A,452,413
4367,Fhiaba,XS8990FZ6A,570,496
4368,Fhiaba,XS8990FZ3A,570,496
4369,Fhiaba,KS8990FZ6A,570,496
4370,Fhiaba,KS8990FZ3A,570,496
4371,Fhiaba,*S8990FZ*A,570,496
4372,Eurotech,ED-RFB428SS,427,335
4373,Haier,HCF301W,300,252
4374,MIELE,FNS 4782 E bst,278,178
4375,MIELE,KS 4783 ED bst,399,115
4376,HELLER,HFF321W,247,291
4377,HELLER,HFF321S,247,291
4378,HELLER,HFF321B,247,291
4379,HELLER,HFF321 series,247,291
4380,Fhiaba,KS7490FR6A,479,332
4381,Fhiaba,KS7490FR3A,479,332
4382,Fhiaba,S7490FR6A,479,332
4383,Fhiaba,S7490FR3A,479,332
4384,Fhiaba,XS7490FR6A,479,332
4385,Fhiaba,XS7490FR3A,479,332
4386,Fhiaba,*S7490FR*A,479,332
4387,Midea,MDRB424FGF02AP,309,345
4388,Mistral,MBBF175W-F,90,131
4389,Mistral,MBBF175W,90,131
4390,Imprasio,IMCF100,98,208
4391,Imprasio,IMCF708,688,480
